"Priority","Cluster","Funnel","Primary Keyword","Supporting Keywords","Search Intent","Owned URL","Page Type","Status","Canonical Title","Primary CTA","Required Internal Links","Avoid Overlap With","Notes"
"P0","Brand","Navigational","Splintercat","Splintercat gear; Splintercat cat guides","Find the brand and understand its value","https://splintercatgear.com/","Home page","Published","Splintercat | Independent Indoor Cat Gear & Guides","Start with the indoor-cat setup guide","/guides/; /guides/indoor-cat-setup/; /methodology/","/guides/; /guides/indoor-cat-setup/","Home owns brand and broad positioning; it must not target the complete setup query."
"P0","Guide discovery","Informational","indoor cat guides","indoor cat care guides; indoor cat enrichment guides","Browse practical guidance by problem","https://splintercatgear.com/guides/","Collection hub","Published","Indoor Cat Guides: Enrichment, Litter & More | Splintercat","Choose a problem-specific guide","All published guide URLs; /gear/","/; /guides/indoor-cat-setup/","Hub owns discovery; each detailed question belongs to a leaf guide."
"P0","Habitat and small spaces","Informational","indoor cat setup","how to set up home for indoor cat; what does an indoor cat need","Plan a complete indoor environment","https://splintercatgear.com/guides/indoor-cat-setup/","Pillar guide","Published","How to Set Up Your Home for an Indoor Cat | Splintercat","Continue to a room or resource guide","/guides/small-apartment-cat-setup/; /guides/litter-box-placement/; /guides/food-water-station/; /guides/indoor-cat-enrichment/","/; /guides/; /guides/small-apartment-cat-setup/","Owns the complete process; keep apartment constraints on the small-space page."
"P0","Habitat and small spaces","Informational","small apartment cat setup","cat setup for studio apartment; cat apartment setup; small-space catification","Create a room-by-room plan for a small home","https://splintercatgear.com/guides/small-apartment-cat-setup/","Support guide","Published","Small Apartment Cat Setup: Room-by-Room Plan | Splintercat","Use the room measurement checklist","/guides/indoor-cat-setup/; /guides/litter-box-placement/; /guides/scratching-post-placement/; /gear/cat-trees-small-spaces/","/guides/indoor-cat-setup/; planned renter-friendly catification page","Owns floor-space and room-layout constraints."
"P0","Litter","Informational","where to put a litter box in a small apartment","litter box placement; best place for cat litter box; litter box in studio apartment","Choose an accessible low-conflict location","https://splintercatgear.com/guides/litter-box-placement/","Support guide","Published","Where to Put a Litter Box in a Small Apartment | Splintercat","Apply the placement checklist","/guides/indoor-cat-setup/; /guides/small-apartment-cat-setup/; /gear/#litter-cleanup","Planned litter-box size and number guides","Owns location; dimensions and box count require separate pages."
"P0","Play and scratching","Informational","where to put a cat scratching post","cat scratcher placement; scratching post near sofa; best location for cat scratcher","Place scratchers where the cat is motivated to use them","https://splintercatgear.com/guides/scratching-post-placement/","Support guide","Published","Where to Put a Cat Scratching Post | Splintercat","Choose placement then review scratcher types","/guides/indoor-cat-enrichment/; /guides/indoor-cat-setup/; /gear/scratching-posts/","/gear/scratching-posts/","Owns location, not product comparison."
"P0","Feeding and hydration","Informational","cat food and water station setup","where to put cat food and water; separate cat food and water bowls; multi-cat feeding station","Plan accessible separated feeding and hydration resources","https://splintercatgear.com/guides/food-water-station/","Support guide","Published","Cat Food and Water Station Setup Guide | Splintercat","Apply the station checklist","/guides/indoor-cat-setup/; /guides/small-apartment-cat-setup/; /gear/#feed-water","Planned fountain maintenance and multi-cat feeding pages","Owns the whole station; narrower maintenance and competition topics branch from it."
"P0","Play and scratching","Informational","indoor cat enrichment ideas for apartments","indoor cat enrichment; apartment cat enrichment; how to entertain indoor cat","Build a repeatable enrichment routine","https://splintercatgear.com/guides/indoor-cat-enrichment/","Support guide","Published","Indoor Cat Enrichment Ideas for Apartments | Splintercat","Build a weekly routine","/guides/scratching-post-placement/; /guides/small-apartment-cat-setup/; /gear/cat-toys/","/gear/cat-toys/; planned toy-rotation and nighttime-activity pages","Owns the complete routine, not single-toy selection."
"P0","Marketplace","Commercial investigation","best indoor cat gear","best cat toys and scratchers; popular cat products on Amazon; indoor cat supplies","Choose a researched category or inspect popular products through practical buying checks","https://splintercatgear.com/gear/","Research and marketplace hub","Published","Cat Toys, Scratchers & Indoor Gear Research | Splintercat","Open a category shortlist before a product record","/gear/cat-toys/; /gear/scratching-posts/; /gear/cat-trees-small-spaces/; /methodology/; /affiliate-disclosure/","Category shortlists and hands-on reviews","The hub targets the query through useful comparison coverage without claiming a universal winner."
"P1","Trust","Informational","how Splintercat tests cat gear","cat product testing methodology; independent cat gear reviews","Understand evidence labels and review methods","https://splintercatgear.com/methodology/","Trust page","Published","How We Test Indoor Cat Gear | Splintercat Methodology","Inspect editorial policy or future test record","/editorial-policy/; /affiliate-disclosure/; /gear/","Future category-specific test protocols","Supports trust; do not force generic review keywords."
